ano,sigla_uf,id_municipio,ibc,cobertura_pop_4g5g,fibra,densidade_smp,hhi_smp,densidade_scm,hhi_scm,adensamento_estacoes
2023.0,PB,2516706.0,53.47,93.7962,100.0,60.06,61.0,,19.0,4.27
2023.0,PE,2603504.0,63.73,100.0,,80.29,67.0,,65.0,4.78
2023.0,PE,2604809.0,30.35,92.862,0.0,42.34,6.0,,83.0,8.17
2023.0,PE,2607950.0,55.34,99.7526,100.0,58.83,30.0,,76.0,6.1
2023.0,PE,2612307.0,27.57,91.6715,0.0,48.54,1.0,,13.0,7.53
2023.0,AL,2700300.0,67.67,99.7077,100.0,90.11,76.0,,95.0,9.85
2023.0,AL,2700805.0,43.52,99.9348,,90.82,27.0,0.75,87.0,17.64
2023.0,AL,2705101.0,57.46,97.8144,,68.22,41.0,5.13,59.0,6.98
2023.0,SE,2800605.0,66.85,100.0,100.0,88.04,59.0,18.72,78.0,10.03
2023.0,SE,2804102.0,54.71,99.8608,,65.67,14.0,0.38,61.0,5.65
2023.0,SE,2805000.0,39.13,97.8064,0.0,91.01,6.0,88.35,21.0,22.49
2023.0,SE,2806404.0,37.8,99.9284,0.0,54.19,86.0,0.08,70.0,8.5
2023.0,BA,2903953.0,40.28,42.4961,,39.06,10.0,2.5,66.0,4.28
2023.0,BA,2905602.0,58.35,90.2458,,76.35,81.0,7.88,21.0,6.46
2023.0,BA,2908200.0,60.69,98.9399,,79.7,82.0,0.21,50.0,6.01
2023.0,BA,2913408.0,48.56,60.0024,,45.54,79.0,0.48,73.0,4.02
2023.0,BA,2919009.0,21.05,36.2496,,24.89,44.0,1.98,80.0,17.71
2023.0,BA,2923209.0,15.15,24.0401,,41.55,12.0,7.05,9.0,4.02
2023.0,BA,2924058.0,29.06,73.2179,0.0,50.16,58.0,2.93,38.0,6.29
2023.0,BA,2925253.0,51.2,76.6627,,50.27,46.0,13.84,42.0,5.8
2023.0,BA,2926707.0,19.55,35.0819,0.0,37.55,9.0,7.39,68.0,3.16
2023.0,BA,2927101.0,49.75,88.464,,15.82,68.0,19.62,56.0,4.04
2023.0,BA,2933257.0,38.45,27.4268,100.0,35.6,13.0,0.63,79.0,10.41
2023.0,MG,3104007.0,69.57,99.2674,,90.62,88.0,26.51,56.0,13.8
2023.0,MG,3106002.0,56.03,99.3806,100.0,47.55,72.0,15.3,21.0,12.29
2023.0,MG,3108909.0,57.94,83.6742,100.0,62.0,78.0,29.93,7.0,8.77
2023.0,MG,3117306.0,66.32,96.043,100.0,79.38,89.0,24.46,56.0,11.74
2023.0,MG,3122207.0,61.95,89.4135,100.0,78.92,65.0,15.27,61.0,9.59
2023.0,MG,3128808.0,42.64,96.5645,,68.98,64.0,38.01,9.0,11.68
2023.0,MG,3129301.0,33.4,92.9703,0.0,53.05,52.0,1.11,51.0,8.66
2023.0,MG,3130408.0,63.73,99.6684,,71.28,64.0,26.37,54.0,8.92
2023.0,MG,3131158.0,40.39,99.7369,0.0,71.92,65.0,13.07,46.0,4.86
2023.0,MG,3136553.0,34.96,77.5171,,59.62,53.0,0.32,78.0,52.84
2023.0,MG,3138005.0,39.7,98.8245,,72.78,46.0,3.75,63.0,13.97
2023.0,MG,3143104.0,64.61,95.248,,80.06,65.0,16.85,78.0,11.35
2023.0,MG,3145802.0,69.02,83.8474,,90.2,51.0,23.5,62.0,49.1
2023.0,MG,3146206.0,34.19,78.4206,0.0,57.32,61.0,3.52,71.0,10.85
2023.0,MG,3160306.0,51.49,67.4956,100.0,54.26,54.0,8.78,62.0,8.07
2023.0,MG,3162948.0,62.04,88.7825,,90.49,65.0,12.03,7.0,24.05
2023.0,MG,3170305.0,32.63,60.3148,0.0,56.03,66.0,1.85,74.0,23.28
2023.0,ES,3201001.0,60.33,90.4664,,83.91,25.0,7.59,75.0,12.24
2023.0,ES,3203700.0,53.38,72.1351,,60.25,21.0,12.16,69.0,14.91
2023.0,ES,3204609.0,59.2,78.9094,100.0,81.85,26.0,29.3,18.0,15.52
2023.0,ES,3204906.0,65.09,93.0922,,89.88,28.0,17.73,89.0,14.14
2023.0,RJ,3304110.0,69.01,100.0,100.0,86.59,72.0,29.67,67.0,12.27
2023.0,RJ,3304144.0,63.84,100.0,100.0,83.95,82.0,14.81,35.0,8.15
2023.0,SP,3523107.0,69.0,100.0,100.0,89.76,91.0,17.61,91.0,5.19
2023.0,SP,3528700.0,56.19,70.4879,,48.27,35.0,37.98,56.0,18.22
2023.0,SP,3535903.0,42.39,97.7849,,91.02,26.0,0.63,57.0,25.83
2023.0,SP,3540705.0,67.87,99.5846,,81.65,76.0,29.07,78.0,5.14
2023.0,SP,3553609.0,62.33,91.8334,100.0,78.06,63.0,24.09,47.0,5.29
2023.0,PR,4102752.0,53.7,87.6669,100.0,50.25,52.0,4.88,53.0,15.5
2023.0,PR,4103701.0,65.82,99.4777,,66.12,88.0,27.76,87.0,4.27
2023.0,PR,4103909.0,56.66,89.5447,,47.51,74.0,16.01,65.0,7.95
2023.0,PR,4105805.0,69.09,99.9487,,89.79,78.0,28.98,61.0,8.97
2023.0,PR,4114906.0,62.01,95.3461,,81.43,52.0,4.89,73.0,14.4
2023.0,PR,4117305.0,58.4,59.8104,,73.71,83.0,10.14,86.0,16.36
2023.0,PR,4123907.0,63.81,99.1691,100.0,73.16,67.0,21.69,62.0,9.41
2023.0,PR,4125902.0,58.71,60.2961,100.0,63.79,71.0,11.56,80.0,39.13
2023.0,SC,4205407.0,76.05,99.9885,,91.18,93.0,49.53,80.0,15.08
2023.0,SC,4214003.0,65.67,95.228,100.0,78.61,82.0,20.7,84.0,5.2
2023.0,SC,4216602.0,73.34,100.0,,90.02,89.0,42.13,80.0,8.09
2023.0,SC,4218103.0,54.09,72.0294,100.0,56.36,22.0,18.42,63.0,19.33
2023.0,RS,4300638.0,53.17,51.355,100.0,73.27,15.0,19.86,72.0,11.77
2023.0,RS,4303103.0,70.27,100.0,,90.29,88.0,20.15,96.0,9.63
2023.0,RS,4304689.0,61.29,99.9884,,81.33,42.0,20.79,7.0,14.93
2023.0,RS,4308300.0,54.06,70.3917,100.0,60.1,77.0,11.4,37.0,13.08
2023.0,RS,4310405.0,54.98,75.5748,100.0,58.3,40.0,18.56,64.0,9.72
2023.0,RS,4310462.0,56.18,77.5499,100.0,31.26,27.0,30.97,80.0,36.32
2023.0,RS,4311122.0,58.16,67.661,100.0,84.17,21.0,9.97,77.0,40.62
2023.0,RS,4311403.0,71.59,99.8565,100.0,90.29,70.0,36.27,92.0,6.89
2023.0,RS,4312385.0,56.87,93.5108,100.0,57.99,7.0,21.89,54.0,16.29
2023.0,RS,4314175.0,42.99,32.4663,100.0,32.02,24.0,11.75,63.0,30.31
2023.0,RS,4320404.0,63.95,98.0642,100.0,74.52,62.0,35.66,28.0,7.37
2023.0,RS,4321808.0,62.66,88.1534,100.0,74.62,46.0,91.62,87.0,6.69
2023.0,RS,4323358.0,48.39,81.1964,,22.93,31.0,10.86,39.0,30.05
2023.0,MT,5102678.0,70.73,82.0908,100.0,89.75,70.0,53.92,62.0,12.14
2023.0,MT,5107107.0,57.12,80.5683,,78.25,34.0,10.66,62.0,5.83
2023.0,MT,5108055.0,49.49,52.6328,,63.61,20.0,13.58,56.0,9.81
2023.0,MT,5108956.0,36.34,49.7099,,6.97,18.0,6.32,60.0,5.01
2023.0,GO,5205497.0,65.03,98.9658,,70.21,86.0,21.53,79.0,6.35
2023.0,GO,5206701.0,37.25,65.8341,,90.52,24.0,15.18,40.0,16.57
2023.0,GO,5218052.0,65.5,94.4422,100.0,90.41,2.0,22.55,75.0,25.58
2022.0,RO,1100064.0,39.87,79.2862,0.0,91.75,72.0,1.43,59.0,6.38
2022.0,AM,1300060.0,29.25,71.1602,0.0,43.66,53.0,0.14,84.0,4.62
2022.0,AM,1300680.0,24.9,51.7078,,41.43,60.0,0.27,68.0,4.2
2022.0,RR,1400506.0,49.08,72.3405,,54.6,31.0,3.25,53.0,5.64
2022.0,TO,1717206.0,25.47,40.9357,,66.66,4.0,1.26,58.0,14.6
2022.0,TO,1718709.0,49.99,59.5502,,55.25,47.0,9.01,41.0,18.25
2022.0,MA,2100402.0,24.83,38.1133,,66.82,39.0,8.93,10.0,7.75
2022.0,MA,2105708.0,52.95,79.0122,,68.03,79.0,5.9,7.0,2.25
2022.0,MA,2106326.0,53.44,90.6575,,59.99,26.0,1.74,73.0,3.15
2022.0,MA,2109601.0,51.62,80.642,100.0,54.76,80.0,5.87,20.0,3.03
2022.0,MA,2109700.0,24.75,54.3834,0.0,40.36,39.0,2.48,71.0,5.98
2022.0,PI,2201606.0,48.59,67.7336,100.0,56.55,11.0,1.26,80.0,5.06
2022.0,PI,2203230.0,13.22,24.6902,,15.0,8.0,0.7,70.0,10.32
2022.0,PI,2204006.0,54.87,88.2204,,61.16,65.0,8.6,29.0,7.4
2022.0,PI,2206670.0,46.93,57.556,,48.08,53.0,3.29,53.0,7.78
2022.0,PI,2207900.0,52.33,72.6992,100.0,53.93,73.0,10.56,48.0,3.52
2022.0,CE,2312106.0,50.59,83.3802,,46.66,56.0,8.86,29.0,5.9
2022.0,CE,2312908.0,67.91,97.9024,100.0,85.59,75.0,26.53,77.0,6.32
2022.0,RN,2401701.0,51.12,99.1432,100.0,58.05,16.0,6.35,10.0,3.35
2022.0,RN,2405603.0,52.32,88.673,,59.37,28.0,11.33,23.0,5.96
2022.0,RN,2406601.0,63.14,96.5113,100.0,92.53,63.0,11.6,44.0,4.01
2022.0,RN,2408508.0,28.27,86.3394,,42.64,9.0,16.58,8.0,10.17
2022.0,RN,2410256.0,23.78,57.4535,,43.74,35.0,6.73,11.0,12.75
2022.0,PB,2517001.0,49.83,76.1007,100.0,57.14,20.0,0.52,67.0,5.48
2022.0,PE,2600302.0,39.22,99.7155,,69.34,56.0,9.92,57.0,3.5
2022.0,PE,2601508.0,56.04,99.745,,50.12,67.0,0.28,78.0,6.42
2022.0,PE,2603603.0,63.74,99.9998,100.0,87.42,60.0,7.39,66.0,8.6
2022.0,PE,2607950.0,54.24,99.8047,100.0,54.55,30.0,0.24,74.0,4.88
2022.0,AL,2706448.0,63.63,95.9886,,83.29,80.0,8.13,73.0,6.02
2022.0,SE,2806107.0,63.87,100.0,,90.53,41.0,20.13,37.0,8.96
2022.0,SE,2806503.0,32.0,98.6406,0.0,30.3,83.0,0.1,47.0,12.69
2022.0,BA,2903235.0,31.33,93.6552,,50.82,45.0,8.63,5.0,45.12
2022.0,BA,2905008.0,55.6,68.116,100.0,68.58,44.0,23.98,57.0,2.97
2022.0,BA,2905503.0,55.29,94.1771,,50.27,34.0,19.43,48.0,8.92
2022.0,BA,2910107.0,45.37,45.1059,100.0,43.87,49.0,8.63,71.0,4.21
2022.0,BA,2913457.0,48.79,68.0038,,40.38,61.0,2.13,72.0,8.87
2022.0,BA,2926905.0,49.56,73.6517,100.0,42.34,39.0,1.04,87.0,9.52
2022.0,BA,2927309.0,35.79,99.9772,0.0,52.23,73.0,0.99,58.0,6.67
2022.0,BA,2929354.0,55.85,91.8213,,58.32,51.0,1.43,76.0,9.4
2022.0,MG,3105707.0,56.31,73.1746,,52.2,66.0,20.25,77.0,11.76
2022.0,MG,3106101.0,39.62,85.8592,,83.52,13.0,59.37,69.0,30.81
2022.0,MG,3111002.0,58.95,87.373,,65.68,27.0,26.73,68.0,6.44
2022.0,MG,3111903.0,33.65,97.1507,0.0,59.72,15.0,15.75,5.0,12.64
2022.0,MG,3120870.0,51.69,86.85,100.0,65.82,1.0,10.01,22.0,9.0
2022.0,MG,3123700.0,55.85,99.1539,,51.3,64.0,5.01,58.0,7.34
2022.0,MG,3126703.0,55.89,70.1023,,59.7,82.0,15.23,67.0,6.39
2022.0,MG,3136009.0,31.69,74.8852,,47.88,68.0,4.57,74.0,3.6
2022.0,MG,3139904.0,59.96,95.4659,,59.51,72.0,13.75,77.0,7.02
2022.0,MG,3140159.0,62.81,99.9544,,79.13,50.0,19.06,61.0,4.2
2022.0,MG,3150208.0,41.5,99.4882,0.0,66.94,59.0,33.22,7.0,12.57
2022.0,MG,3150802.0,26.82,65.2729,0.0,46.82,16.0,7.99,54.0,8.81
2022.0,MG,3154507.0,46.25,63.9043,100.0,53.04,1.0,5.19,55.0,7.61
2022.0,MG,3155801.0,63.92,95.0136,,78.8,59.0,19.67,86.0,2.87
2022.0,MG,3159902.0,58.36,93.4188,,64.86,19.0,26.03,51.0,7.71
2022.0,MG,3166204.0,59.53,98.5149,100.0,64.66,56.0,20.24,34.0,9.63
2022.0,MG,3169901.0,65.42,99.8501,,80.89,63.0,26.2,59.0,5.96
2022.0,MG,3170503.0,63.91,97.8178,,69.88,70.0,26.65,66.0,6.29
2022.0,ES,3203908.0,56.42,71.9934,100.0,81.24,36.0,13.86,46.0,9.51
2022.0,ES,3204104.0,54.83,82.5081,100.0,70.32,14.0,78.67,78.0,6.97
2022.0,ES,3204708.0,58.83,97.4638,100.0,77.3,26.0,11.56,54.0,4.65
2022.0,RJ,3305703.0,65.82,93.8614,100.0,71.51,61.0,39.96,62.0,9.86
2022.0,SP,3501608.0,73.43,100.0,100.0,90.13,84.0,48.18,74.0,5.13
2022.0,SP,3502804.0,73.52,99.1739,,92.0,82.0,43.07,82.0,8.74
2022.0,SP,3506904.0,67.38,88.0204,,92.48,89.0,24.49,40.0,19.11
2022.0,SP,3512209.0,65.43,99.7485,100.0,77.18,72.0,31.25,49.0,4.74
2022.0,SP,3514403.0,67.07,99.7581,100.0,85.02,37.0,30.36,86.0,6.23
2022.0,SP,3515707.0,66.41,100.0,100.0,84.19,89.0,16.04,78.0,2.79
2022.0,SP,3516804.0,56.15,99.2258,100.0,71.44,44.0,0.96,15.0,15.37
2022.0,SP,3518859.0,65.69,95.3793,100.0,86.12,45.0,19.54,82.0,13.66
2022.0,SP,3528403.0,70.12,99.9717,100.0,91.51,75.0,27.9,78.0,9.33
2022.0,SP,3529906.0,68.26,88.7234,100.0,92.5,80.0,60.16,54.0,23.35
2022.0,SP,3530904.0,65.16,96.772,,64.87,68.0,28.8,75.0,17.9
2022.0,SP,3537008.0,59.68,88.8973,,82.5,68.0,10.21,25.0,10.73
2022.0,SP,3540903.0,66.32,99.6628,,87.57,77.0,12.29,71.0,11.71
2022.0,SP,3545803.0,71.3,99.9725,,85.64,87.0,39.05,77.0,6.27
2022.0,SP,3548203.0,64.24,96.6338,,87.88,69.0,9.14,42.0,21.02
2022.0,SP,3548609.0,57.67,84.9281,,64.95,49.0,25.12,40.0,5.7
2022.0,SP,3550803.0,58.09,86.7233,100.0,53.85,75.0,56.34,25.0,4.79
2022.0,SP,3555307.0,63.61,100.0,100.0,92.65,9.0,2.73,68.0,29.95
2022.0,SP,3556354.0,69.16,97.2801,100.0,90.65,63.0,27.87,81.0,11.09
2022.0,PR,4101200.0,61.95,91.8881,100.0,64.16,84.0,28.86,34.0,11.97
2022.0,PR,4101903.0,63.57,89.0558,,81.09,85.0,11.83,82.0,6.04
2022.0,PR,4104105.0,61.76,93.8348,100.0,71.78,85.0,5.97,74.0,11.09
2022.0,PR,4116000.0,40.72,99.6014,,65.17,23.0,22.77,58.0,16.95
2022.0,PR,4123709.0,62.07,94.313,,70.22,67.0,19.3,63.0,9.35
2022.0,PR,4126405.0,57.9,82.4832,,67.88,68.0,21.74,20.0,11.87
2022.0,PR,4127502.0,60.36,75.7679,100.0,69.88,73.0,16.62,80.0,14.19
